ant_main,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.2105,0.0,0.2105,0.2105,0.2105,0.2105,0.2105,0.2105,0.2105
0.02,0.1026,0.0,0.1081,0.1429,0.1429,0.1429,0.1429,0.3571,0.4286
0.03,0.1538,0.0,0.1081,0.1081,0.1081,0.1081,0.1622,0.3243,0.3784
0.04,0.1071,0.0,0.0667,0.087,0.087,0.087,0.2174,0.3478,0.3478
0.05,0.1429,0.0,0.0667,0.1455,0.1455,0.0727,0.2182,0.2909,0.2909
0.06,0.0988,0.0,0.0449,0.125,0.125,0.0625,0.2188,0.25,0.25
0.07,0.1235,0.0,0.0449,0.1096,0.1096,0.0822,0.1918,0.2192,0.2192
0.08,0.101,0.0,0.0899,0.122,0.122,0.1463,0.1707,0.1951,0.1951
0.09,0.1212,0.0,0.0625,0.1099,0.1099,0.1538,0.1538,0.1758,0.1758
0.1,0.0889,0.0,0.0625,0.12,0.12,0.14,0.14,0.16,0.16
0.11,0.0889,0.0,0.1094,0.1101,0.1101,0.1284,0.1284,0.1468,0.1468
0.12,0.1037,0.0,0.1094,0.1186,0.1186,0.1186,0.1186,0.1356,0.1356
0.13,0.1037,0.0,0.1094,0.126,0.126,0.1102,0.1102,0.126,0.1417
0.14,0.0761,0.0,0.0787,0.1176,0.1176,0.1029,0.1029,0.1176,0.1324
0.15,0.0761,0.0,0.0787,0.1103,0.1103,0.0966,0.0966,0.1103,0.1379
