ant_main,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.1739,0.0,0.0588,0.2105,0.2105,0.2105,0.2105,0.2105,0.2105
0.02,0.1026,0.0,0.1176,0.1429,0.1429,0.1429,0.1429,0.3571,0.4286
0.03,0.1538,0.0,0.0727,0.2162,0.2162,0.1081,0.2162,0.3243,0.3784
0.04,0.1091,0.0,0.0727,0.1739,0.1739,0.087,0.2174,0.3043,0.3043
0.05,0.1455,0.0,0.0727,0.1455,0.1455,0.0727,0.1818,0.2545,0.2545
0.06,0.1389,0.0,0.0476,0.125,0.125,0.0625,0.1875,0.25,0.2188
0.07,0.102,0.0,0.0476,0.137,0.137,0.0548,0.1644,0.2192,0.2192
0.08,0.102,0.0,0.0476,0.122,0.122,0.122,0.1463,0.1951,0.1951
0.09,0.1224,0.0,0.0333,0.1099,0.1099,0.1538,0.1319,0.1758,0.1758
0.1,0.0976,0.0,0.0333,0.1,0.1,0.14,0.12,0.16,0.16
0.11,0.0976,0.0,0.1,0.0917,0.0917,0.1284,0.1101,0.1468,0.1468
0.12,0.1138,0.0,0.1,0.0847,0.0847,0.1186,0.1017,0.1356,0.1356
0.13,0.0809,0.0,0.0714,0.0787,0.0787,0.1102,0.1102,0.126,0.126
0.14,0.0809,0.0,0.0714,0.0882,0.0882,0.1029,0.1176,0.1176,0.1324
0.15,0.0809,0.0,0.0833,0.0828,0.0828,0.0966,0.1103,0.1103,0.1241
